Entity,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Norway,NOR,,,,90.0,90.0,85.0,83.0,80.0,83.0,83.0,86.0,96.0,98.0,94.0,93.0,97.0,97.0,95.0,93.0,92.0,90.0,91.0,93.0,92.0,92.0,91.0,94.0,93.0,94.0,94.0,93.0,94.0,95.0,94.0,93.0,95.0,96.0,96.0,96.0,97.0,97.0,97.0
Oman,OMN,18.0,19.0,24.0,31.0,45.0,60.0,82.0,89.0,90.0,98.0,98.0,95.0,99.0,97.0,97.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,99.0,98.0,99.0,99.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
Pakistan,PAK,2.0,3.0,5.0,15.0,23.0,30.0,34.0,36.0,38.0,40.0,54.0,50.0,42.0,37.0,39.0,58.0,46.0,52.0,54.0,57.0,59.0,61.0,63.0,66.0,68.0,63.0,59.0,54.0,53.0,52.0,52.0,63.0,64.0,65.0,69.0,72.0,75.0,75.0,80.0,84.0,77.0,83.0
Palau,PLW,,,,,,,98.0,81.0,99.0,78.0,99.0,98.0,93.0,89.0,67.0,99.0,98.0,91.0,96.0,96.0,96.0,98.0,99.0,99.0,98.0,98.0,98.0,94.0,92.0,49.0,69.0,84.0,89.0,99.0,95.0,90.0,98.0,97.0,95.0,97.0,96.0,95.0
Palestine,PSE,,,,,,,,,,,,,,94.0,98.0,99.0,97.0,96.0,98.0,89.0,93.0,97.0,97.0,98.0,96.0,96.0,96.0,99.0,96.0,97.0,99.0,99.0,97.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,95.0
Panama,PAN,47.0,78.0,60.0,60.0,59.0,73.0,70.0,72.0,75.0,70.0,86.0,82.0,77.0,83.0,83.0,86.0,91.0,95.0,98.0,92.0,98.0,99.0,99.0,98.0,95.0,92.0,88.0,85.0,86.0,85.0,94.0,87.0,85.0,80.0,80.0,73.0,86.0,81.0,88.0,88.0,74.0,74.0
Papua New Guinea,PNG,32.0,32.0,29.0,27.0,34.0,40.0,44.0,44.0,48.0,53.0,68.0,68.0,58.0,58.0,61.0,62.0,56.0,45.0,60.0,60.0,59.0,55.0,61.0,68.0,62.0,72.0,70.0,66.0,56.0,64.0,55.0,58.0,57.0,60.0,52.0,49.0,46.0,36.0,35.0,35.0,39.0,31.0
Paraguay,PRY,17.0,28.0,34.0,45.0,67.0,57.0,53.0,58.0,56.0,61.0,67.0,66.0,73.0,66.0,71.0,68.0,72.0,75.0,79.0,82.0,86.0,89.0,87.0,86.0,92.0,96.0,98.0,95.0,89.0,86.0,91.0,92.0,91.0,91.0,93.0,92.0,92.0,91.0,88.0,86.0,79.0,70.0
Peru,PER,16.0,20.0,23.0,23.0,28.0,48.0,50.0,43.0,60.0,58.0,72.0,71.0,83.0,87.0,87.0,90.0,94.0,90.0,94.0,99.0,98.0,90.0,95.0,94.0,86.0,77.0,94.0,93.0,93.0,93.0,93.0,91.0,95.0,88.0,88.0,90.0,89.0,83.0,84.0,88.0,72.0,82.0
Philippines,PHL,47.0,54.0,54.0,55.0,57.0,59.0,66.0,72.0,79.0,86.0,88.0,90.0,80.0,76.0,73.0,70.0,75.0,81.0,81.0,80.0,78.0,79.0,79.0,84.0,88.0,89.0,88.0,87.0,87.0,88.0,88.0,89.0,89.0,84.0,79.0,74.0,84.0,80.0,75.0,71.0,71.0,57.0
Poland,POL,96.0,96.0,95.0,95.0,95.0,94.0,95.0,96.0,96.0,96.0,96.0,95.0,95.0,95.0,96.0,96.0,97.0,98.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,96.0,95.0,95.0,90.0,90.0
Portugal,PRT,73.0,75.0,78.0,79.0,78.0,72.0,81.0,83.0,81.0,88.0,89.0,96.0,94.0,93.0,97.0,93.0,95.0,94.0,97.0,97.0,96.0,97.0,98.0,99.0,95.0,93.0,97.0,97.0,97.0,96.0,98.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0
Qatar,QAT,61.0,43.0,37.0,49.0,60.0,71.0,72.0,72.0,69.0,81.0,82.0,86.0,88.0,90.0,91.0,92.0,92.0,92.0,94.0,92.0,80.0,93.0,96.0,92.0,96.0,97.0,96.0,94.0,97.0,99.0,97.0,93.0,92.0,97.0,89.0,99.0,98.0,97.0,98.0,98.0,89.0,98.0
Romania,ROU,,,,,,95.0,89.0,92.0,96.0,96.0,96.0,98.0,98.0,91.0,98.0,98.0,98.0,97.0,97.0,97.0,99.0,99.0,98.0,97.0,97.0,97.0,97.0,96.0,96.0,95.0,94.0,89.0,91.0,92.0,94.0,89.0,89.0,82.0,86.0,88.0,87.0,86.0
Russia,RUS,,,,,,,,,,,,,73.0,79.0,88.0,78.0,84.0,88.0,91.0,95.0,96.0,96.0,97.0,96.0,97.0,98.0,98.0,98.0,98.0,98.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0
Rwanda,RWA,,17.0,38.0,59.0,55.0,50.0,87.0,88.0,80.0,82.0,84.0,91.0,85.0,83.0,23.0,83.0,89.0,73.0,79.0,85.0,90.0,77.0,88.0,96.0,89.0,95.0,99.0,97.0,97.0,97.0,97.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0,97.0,98.0,91.0,88.0
Saint Kitts and Nevis,KNA,56.0,67.0,92.0,90.0,97.0,92.0,99.0,96.0,94.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,99.0,99.0,97.0,99.0,96.0,99.0,99.0,99.0,99.0,98.0,96.0,98.0,98.0,97.0,98.0,94.0,98.0,98.0,98.0,97.0,99.0,96.0
Saint Lucia,LCA,56.0,64.0,79.0,81.0,83.0,87.0,78.0,85.0,78.0,92.0,89.0,96.0,96.0,97.0,93.0,98.0,88.0,98.0,88.0,89.0,70.0,99.0,74.0,90.0,91.0,95.0,85.0,99.0,96.0,95.0,97.0,99.0,98.0,99.0,99.0,99.0,95.0,80.0,95.0,92.0,86.0,80.0
Saint Vincent and the Grenadines,VCT,26.0,32.0,67.0,80.0,86.0,90.0,95.0,97.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,97.0,99.0,99.0,99.0,95.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,96.0,96.0,97.0,98.0,99.0,99.0,99.0,97.0,97.0,97.0,97.0
Samoa,WSM,29.0,66.0,87.0,89.0,96.0,89.0,94.0,93.0,90.0,66.0,90.0,79.0,91.0,92.0,93.0,94.0,95.0,96.0,99.0,97.0,98.0,90.0,92.0,90.0,63.0,59.0,50.0,65.0,39.0,64.0,78.0,82.0,82.0,84.0,78.0,80.0,74.0,67.0,44.0,68.0,89.0,85.0
San Marino,SMR,,,,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,88.0,99.0,99.0,99.0,99.0,99.0,98.0,97.0,96.0,96.0,95.0,96.0,92.0,91.0,91.0,90.0,90.0,92.0,89.0,86.0,84.0,85.0,86.0,88.0,90.0,88.0,89.0,90.0
Sao Tome and Principe,STP,,42.0,34.0,26.0,49.0,48.0,65.0,72.0,77.0,63.0,92.0,87.0,68.0,60.0,83.0,79.0,68.0,73.0,73.0,78.0,82.0,92.0,92.0,94.0,96.0,97.0,97.0,97.0,99.0,98.0,98.0,96.0,96.0,97.0,95.0,96.0,96.0,95.0,95.0,95.0,96.0,97.0
Saudi Arabia,SAU,41.0,53.0,62.0,67.0,76.0,81.0,86.0,89.0,89.0,96.0,92.0,91.0,91.0,94.0,95.0,96.0,93.0,92.0,94.0,93.0,95.0,97.0,95.0,95.0,96.0,96.0,96.0,96.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,96.0,96.0,95.0,97.0
Senegal,SEN,,,,,,,54.0,57.0,59.0,47.0,51.0,51.0,59.0,58.0,57.0,80.0,70.0,59.0,59.0,60.0,52.0,52.0,60.0,73.0,87.0,84.0,89.0,94.0,88.0,86.0,89.0,92.0,91.0,92.0,89.0,89.0,93.0,93.0,92.0,95.0,91.0,85.0
Serbia,SRB,,,,,,,,,,,,,84.0,85.0,85.0,89.0,91.0,94.0,93.0,92.0,95.0,93.0,95.0,89.0,88.0,98.0,92.0,94.0,95.0,95.0,91.0,94.0,91.0,95.0,93.0,95.0,92.0,95.0,96.0,97.0,92.0,92.0
Seychelles,SYC,,13.0,55.0,97.0,95.0,86.0,94.0,89.0,94.0,97.0,99.0,98.0,96.0,96.0,96.0,97.0,99.0,98.0,99.0,99.0,98.0,96.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,99.0,97.0,96.0,97.0,99.0,99.0,97.0,94.0
Sierra Leone,SLE,,,,,,,,,,,,,,,,,,,,43.0,44.0,38.0,53.0,73.0,65.0,65.0,64.0,64.0,77.0,84.0,86.0,89.0,91.0,92.0,83.0,86.0,84.0,90.0,93.0,95.0,91.0,92.0
Singapore,SGP,84.0,87.0,83.0,84.0,77.0,78.0,91.0,96.0,90.0,90.0,85.0,91.0,89.0,92.0,95.0,98.0,97.0,98.0,97.0,97.0,98.0,96.0,94.0,96.0,95.0,96.0,95.0,97.0,97.0,97.0,96.0,96.0,97.0,97.0,96.0,96.0,97.0,96.0,96.0,96.0,96.0,96.0
Slovakia,SVK,,,,,,,,,,,,,,,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,97.0,96.0,96.0,96.0,96.0,97.0,97.0,97.0
Slovenia,SVN,,,,,,,,,,,,,98.0,98.0,98.0,98.0,98.0,94.0,91.0,92.0,91.0,92.0,93.0,95.0,94.0,95.0,97.0,97.0,97.0,96.0,96.0,96.0,96.0,95.0,95.0,95.0,94.0,94.0,93.0,95.0,95.0,86.0
Solomon Islands,SLB,46.0,35.0,23.0,27.0,45.0,38.0,42.0,66.0,69.0,67.0,77.0,76.0,71.0,65.0,68.0,69.0,72.0,72.0,70.0,88.0,86.0,84.0,78.0,84.0,90.0,89.0,99.0,88.0,85.0,86.0,83.0,91.0,92.0,83.0,77.0,87.0,94.0,83.0,85.0,94.0,94.0,87.0
Somalia,SOM,,2.0,5.0,5.0,10.0,22.0,17.0,25.0,26.0,18.0,19.0,20.0,21.0,22.0,23.0,22.0,21.0,19.0,33.0,36.0,33.0,33.0,40.0,40.0,30.0,35.0,26.0,40.0,31.0,42.0,45.0,41.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0
South Africa,ZAF,,,,74.0,75.0,75.0,70.0,72.0,70.0,71.0,72.0,81.0,79.0,81.0,73.0,72.0,73.0,76.0,75.0,74.0,73.0,71.0,70.0,69.0,74.0,81.0,84.0,85.0,82.0,81.0,77.0,75.0,71.0,81.0,85.0,85.0,85.0,84.0,82.0,85.0,84.0,86.0
South Korea,KOR,,61.0,61.0,69.0,76.0,76.0,76.0,57.0,58.0,89.0,74.0,79.0,84.0,88.0,93.0,99.0,90.0,80.0,74.0,86.0,97.0,97.0,97.0,97.0,88.0,96.0,98.0,91.0,94.0,94.0,94.0,99.0,99.0,99.0,99.0,98.0,98.0,97.0,98.0,98.0,98.0,98.0
South Sudan,SSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,63.0,53.0,50.0,46.0,45.0,47.0,49.0,49.0,49.0,49.0
Spain,ESP,,,,,95.0,79.0,88.0,77.0,93.0,93.0,86.0,86.0,84.0,87.0,88.0,90.0,90.0,94.0,95.0,95.0,95.0,96.0,98.0,98.0,97.0,96.0,98.0,96.0,97.0,96.0,97.0,97.0,96.0,96.0,97.0,97.0,97.0,95.0,96.0,95.0,94.0,92.0
Sri Lanka,LKA,46.0,45.0,57.0,64.0,66.0,70.0,75.0,77.0,83.0,87.0,86.0,86.0,88.0,90.0,88.0,93.0,92.0,97.0,94.0,99.0,99.0,98.0,98.0,99.0,97.0,99.0,98.0,98.0,98.0,97.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,96.0,96.0
Sudan,SDN,1.0,1.0,2.0,3.0,4.0,8.0,14.0,27.0,40.0,60.0,62.0,62.0,53.0,51.0,46.0,48.0,56.0,55.0,46.0,55.0,62.0,66.0,60.0,69.0,74.0,78.0,78.0,84.0,86.0,81.0,90.0,93.0,92.0,93.0,94.0,93.0,93.0,95.0,93.0,93.0,90.0,84.0
Suriname,SUR,25.0,27.0,61.0,85.0,80.0,84.0,80.0,71.0,64.0,72.0,83.0,75.0,74.0,76.0,74.0,84.0,85.0,81.0,90.0,85.0,71.0,68.0,73.0,75.0,85.0,83.0,84.0,84.0,85.0,87.0,94.0,80.0,76.0,76.0,71.0,73.0,77.0,67.0,81.0,77.0,51.0,72.0
Sweden,SWE,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,97.0,98.0,98.0,97.0,97.0,98.0,97.0,98.0
Switzerland,CHE,,,,,,,90.0,90.0,90.0,90.0,90.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,88.0,93.0,93.0,93.0,93.0,93.0,93.0,94.0,94.0,94.0,95.0,95.0,95.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
Syria,SYR,13.0,14.0,15.0,21.0,25.0,29.0,86.0,42.0,59.0,94.0,91.0,89.0,89.0,90.0,89.0,89.0,88.0,87.0,87.0,86.0,84.0,82.0,84.0,83.0,81.0,80.0,80.0,80.0,79.0,80.0,80.0,72.0,45.0,41.0,43.0,41.0,42.0,48.0,47.0,54.0,49.0,48.0
Tajikistan,TJK,,,,,,,,,,,,,72.0,64.0,81.0,80.0,75.0,81.0,79.0,82.0,83.0,85.0,85.0,85.0,86.0,84.0,83.0,86.0,86.0,93.0,93.0,96.0,94.0,96.0,97.0,96.0,96.0,96.0,96.0,97.0,97.0,97.0
Tanzania,TZA,59.0,55.0,50.0,52.0,58.0,67.0,74.0,79.0,85.0,77.0,78.0,81.0,83.0,83.0,84.0,81.0,82.0,79.0,79.0,76.0,79.0,87.0,89.0,95.0,95.0,90.0,90.0,83.0,86.0,85.0,91.0,90.0,92.0,91.0,97.0,96.0,92.0,90.0,89.0,89.0,86.0,81.0
Thailand,THA,49.0,52.0,49.0,49.0,53.0,62.0,66.0,75.0,80.0,84.0,92.0,90.0,85.0,89.0,93.0,96.0,94.0,95.0,96.0,97.0,97.0,96.0,96.0,98.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,97.0,97.0,97.0,97.0
Togo,TGO,,9.0,14.0,18.0,11.0,24.0,37.0,61.0,54.0,72.0,77.0,73.0,69.0,66.0,62.0,58.0,50.0,42.0,42.0,57.0,64.0,50.0,59.0,72.0,71.0,82.0,84.0,82.0,81.0,78.0,83.0,85.0,84.0,84.0,84.0,82.0,82.0,83.0,81.0,84.0,82.0,83.0
Tonga,TON,40.0,37.0,52.0,63.0,51.0,92.0,75.0,99.0,92.0,93.0,94.0,88.0,99.0,96.0,89.0,95.0,99.0,96.0,97.0,94.0,95.0,94.0,90.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,95.0,99.0,98.0,96.0,96.0,99.0,99.0,99.0,99.0,99.0
Trinidad and Tobago,TTO,26.0,62.0,54.0,60.0,65.0,75.0,70.0,79.0,82.0,77.0,82.0,82.0,87.0,81.0,85.0,89.0,89.0,90.0,91.0,90.0,90.0,91.0,96.0,91.0,94.0,95.0,92.0,88.0,90.0,90.0,90.0,90.0,92.0,92.0,92.0,96.0,97.0,89.0,99.0,93.0,96.0,94.0
Tunisia,TUN,,,,62.0,66.0,70.0,72.0,84.0,91.0,93.0,93.0,93.0,95.0,94.0,93.0,94.0,95.0,96.0,96.0,99.0,97.0,98.0,96.0,95.0,97.0,98.0,99.0,98.0,99.0,99.0,98.0,98.0,97.0,98.0,98.0,98.0,98.0,98.0,97.0,98.0,97.0,97.0
Turkey,TUR,42.0,64.0,58.0,56.0,56.0,55.0,45.0,86.0,86.0,79.0,84.0,72.0,77.0,76.0,87.0,67.0,72.0,79.0,81.0,79.0,85.0,88.0,78.0,68.0,85.0,90.0,90.0,96.0,96.0,96.0,97.0,97.0,97.0,98.0,96.0,97.0,98.0,96.0,98.0,99.0,98.0,95.0
Turkmenistan,TKM,,,,,,,,,,,,,84.0,73.0,90.0,93.0,97.0,98.0,99.0,98.0,97.0,95.0,98.0,83.0,97.0,99.0,98.0,98.0,96.0,96.0,96.0,97.0,97.0,98.0,98.0,99.0,98.0,99.0,99.0,99.0,98.0,97.0
Tuvalu,TUV,36.0,49.0,72.0,79.0,37.0,52.0,73.0,59.0,89.0,85.0,99.0,74.0,70.0,80.0,99.0,87.0,97.0,77.0,94.0,83.0,82.0,96.0,98.0,93.0,98.0,93.0,97.0,97.0,99.0,88.0,89.0,96.0,97.0,90.0,89.0,96.0,94.0,96.0,89.0,92.0,95.0,94.0
Uganda,UGA,,9.0,12.0,14.0,14.0,14.0,21.0,30.0,38.0,42.0,45.0,49.0,53.0,56.0,60.0,59.0,57.0,56.0,48.0,50.0,52.0,55.0,57.0,59.0,62.0,64.0,64.0,73.0,71.0,79.0,80.0,82.0,83.0,84.0,85.0,89.0,93.0,94.0,93.0,93.0,89.0,91.0
Ukraine,UKR,,,,,,,,,,,,,88.0,93.0,97.0,98.0,99.0,99.0,98.0,99.0,99.0,99.0,99.0,97.0,99.0,96.0,98.0,98.0,90.0,71.0,52.0,50.0,76.0,76.0,23.0,23.0,19.0,50.0,69.0,80.0,81.0,78.0
United Arab Emirates,ARE,11.0,45.0,43.0,50.0,59.0,76.0,78.0,80.0,82.0,84.0,85.0,85.0,86.0,90.0,90.0,90.0,90.0,92.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,92.0,92.0,92.0,93.0,94.0,95.0,96.0,98.0,99.0,99.0,99.0,97.0,99.0,99.0,90.0,96.0
United Kingdom,GBR,41.0,46.0,53.0,59.0,65.0,65.0,67.0,73.0,75.0,78.0,84.0,88.0,92.0,93.0,93.0,94.0,94.0,92.0,91.0,92.0,91.0,91.0,91.0,91.0,92.0,91.0,92.0,92.0,92.0,93.0,94.0,95.0,95.0,95.0,95.0,95.0,94.0,94.0,94.0,93.0,93.0,93.0
United States,USA,96.0,96.0,96.0,97.0,97.0,96.0,97.0,97.0,97.0,94.0,90.0,86.0,83.0,88.0,94.0,95.0,95.0,96.0,96.0,96.0,94.0,94.0,94.0,96.0,96.0,96.0,96.0,96.0,96.0,95.0,95.0,96.0,94.0,94.0,95.0,95.0,95.0,94.0,94.0,94.0,93.0,93.0
Uruguay,URY,53.0,57.0,67.0,73.0,62.0,63.0,70.0,85.0,82.0,88.0,97.0,96.0,93.0,92.0,91.0,91.0,91.0,91.0,91.0,93.0,90.0,94.0,95.0,91.0,94.0,96.0,95.0,94.0,94.0,95.0,95.0,95.0,95.0,94.0,95.0,95.0,95.0,93.0,91.0,94.0,92.0,89.0
Uzbekistan,UZB,,,,,,,,,,,,,90.0,45.0,67.0,87.0,95.0,96.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,99.0,96.0,96.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,96.0,95.0,98.0
Vanuatu,VUT,,,22.0,27.0,28.0,30.0,31.0,56.0,58.0,61.0,76.0,83.0,77.0,86.0,74.0,73.0,67.0,72.0,72.0,71.0,71.0,70.0,70.0,69.0,69.0,68.0,68.0,70.0,73.0,75.0,77.0,79.0,82.0,84.0,86.0,80.0,81.0,85.0,85.0,90.0,78.0,62.0
Venezuela,VEN,56.0,54.0,53.0,58.0,33.0,49.0,58.0,57.0,56.0,57.0,63.0,64.0,67.0,67.0,63.0,68.0,57.0,60.0,39.0,76.0,77.0,70.0,65.0,68.0,86.0,87.0,71.0,62.0,50.0,84.0,78.0,78.0,81.0,82.0,78.0,87.0,84.0,66.0,60.0,64.0,54.0,56.0
Vietnam,VNM,,,,4.0,5.0,42.0,43.0,50.0,70.0,88.0,88.0,88.0,88.0,91.0,94.0,93.0,94.0,95.0,94.0,93.0,96.0,96.0,75.0,99.0,96.0,95.0,94.0,92.0,93.0,96.0,93.0,95.0,97.0,59.0,95.0,97.0,96.0,94.0,75.0,89.0,94.0,83.0
World,OWID_WRL,20.0,23.0,25.0,37.0,44.0,48.0,51.0,55.0,63.0,68.0,76.0,71.0,69.0,70.0,72.0,73.0,72.0,71.0,71.0,71.0,72.0,73.0,72.0,74.0,76.0,77.0,78.0,78.0,81.0,83.0,83.0,84.0,84.0,84.0,85.0,85.0,86.0,86.0,86.0,86.0,83.0,81.0
Yemen,YEM,1.0,3.0,4.0,5.0,7.0,12.0,13.0,18.0,36.0,56.0,84.0,47.0,50.0,54.0,33.0,44.0,47.0,40.0,68.0,71.0,74.0,73.0,65.0,61.0,72.0,79.0,78.0,79.0,78.0,76.0,76.0,69.0,67.0,73.0,73.0,69.0,71.0,68.0,65.0,73.0,72.0,72.0
Zambia,ZMB,,,,49.0,59.0,66.0,66.0,83.0,83.0,83.0,91.0,79.0,83.0,86.0,90.0,86.0,84.0,83.0,84.0,84.0,85.0,85.0,84.0,83.0,83.0,82.0,81.0,80.0,87.0,94.0,83.0,81.0,78.0,79.0,86.0,90.0,95.0,94.0,90.0,88.0,84.0,91.0
Zimbabwe,ZWE,,39.0,46.0,53.0,60.0,63.0,75.0,84.0,85.0,87.0,88.0,87.0,86.0,85.0,87.0,88.0,90.0,86.0,84.0,81.0,78.0,75.0,71.0,68.0,65.0,68.0,70.0,73.0,75.0,73.0,89.0,93.0,95.0,95.0,91.0,87.0,90.0,89.0,89.0,90.0,86.0,86.0
